Bulan,Sum Bunga(IPMT),SUMPokok(PPMT)
228,"Rp41,642.73","Rp408,220.25"
229,"Rp38,581.08","Rp411,281.90"
230,"Rp35,496.46","Rp414,366.51"
231,"Rp32,388.72","Rp417,474.26"
232,"Rp29,257.66","Rp420,605.32"
233,"Rp26,103.12","Rp423,759.86"
234,"Rp22,924.92","Rp426,938.06"
235,"Rp19,722.88","Rp430,140.09"
236,"Rp16,496.83","Rp433,366.14"
237,"Rp13,246.59","Rp436,616.39"
238,"Rp9,971.96","Rp439,891.01"
239,"Rp6,672.78","Rp443,190.20"
240,"Rp3,348.86","Rp446,514.12"
241,#NUM!,#NUM!
242,#NUM!,#NUM!
243,#NUM!,#NUM!
244,#NUM!,#NUM!
245,#NUM!,#NUM!
246,#NUM!,#NUM!
247,#NUM!,#NUM!
248,#NUM!,#NUM!
Total Keseluruhan,#NUM!,#NUM!
