INPUT SECTION ( LOAN AMORTIZATION ) UP TO 10 YEAR,,,,,,,,
,,,,,,,,
Loan Amount," Rp50,000,000.00 ",,,,,,,
Interest Rate/yr,9.00%,,,,,,,
Tenor(Tahun),20,,,,,,,
Monthly Payment,"Rp449,862.98",,,,,,,
Total Payment,"Rp107,967,114.70",,,,,,,
Total Interest,"Rp57,967,114.70",,,,,,,
,,,,,,,,
AMORTIZATION TABLE,,,,,,,,
,,,,,,,,
Bulan,Opening Balance,Cicilan,Bunga(IPMT),Pokok(PPMT),Closing Balance,,,
58," Rp44,699,949.81 ","Rp449,862.98","Rp335,249.62","Rp114,613.35"," Rp44,585,336.46 ",,,
59," Rp44,585,336.46 ","Rp449,862.98","Rp334,390.02","Rp115,472.95"," Rp44,469,863.50 ",,,
60," Rp44,469,863.50 ","Rp449,862.98","Rp333,523.98","Rp116,339.00"," Rp44,353,524.50 ",,,
61," Rp44,353,524.50 ","Rp449,862.98","Rp332,651.43","Rp117,211.54"," Rp44,236,312.96 ",,,
62," Rp44,236,312.96 ","Rp449,862.98","Rp331,772.35","Rp118,090.63"," Rp44,118,222.33 ",,,
63," Rp44,118,222.33 ","Rp449,862.98","Rp330,886.67","Rp118,976.31"," Rp43,999,246.02 ",,,
64," Rp43,999,246.02 ","Rp449,862.98","Rp329,994.35","Rp119,868.63"," Rp43,879,377.38 ",,,
65," Rp43,879,377.38 ","Rp449,862.98","Rp329,095.33","Rp120,767.65"," Rp43,758,609.74 ",,,
66," Rp43,758,609.74 ","Rp449,862.98","Rp328,189.57","Rp121,673.40"," Rp43,636,936.33 ",,,
67," Rp43,636,936.33 ","Rp449,862.98","Rp327,277.02","Rp122,585.96"," Rp43,514,350.38 ",,,
68," Rp43,514,350.38 ","Rp449,862.98","Rp326,357.63","Rp123,505.35"," Rp43,390,845.03 ",,,
69," Rp43,390,845.03 ","Rp449,862.98","Rp325,431.34","Rp124,431.64"," Rp43,266,413.39 ",,,
70," Rp43,266,413.39 ","Rp449,862.98","Rp324,498.10","Rp125,364.88"," Rp43,141,048.51 ",,,
71," Rp43,141,048.51 ","Rp449,862.98","Rp323,557.86","Rp126,305.11"," Rp43,014,743.39 ",,,
72," Rp43,014,743.39 ","Rp449,862.98","Rp322,610.58","Rp127,252.40"," Rp42,887,490.99 ",,,
73," Rp42,887,490.99 ","Rp449,862.98","Rp321,656.18","Rp128,206.80"," Rp42,759,284.20 ",,,
74," Rp42,759,284.20 ","Rp449,862.98","Rp320,694.63","Rp129,168.35"," Rp42,630,115.85 ",,,
75," Rp42,630,115.85 ","Rp449,862.98","Rp319,725.87","Rp130,137.11"," Rp42,499,978.74 ",,,
76," Rp42,499,978.74 ","Rp449,862.98","Rp318,749.84","Rp131,113.14"," Rp42,368,865.60 ",,,
77," Rp42,368,865.60 ","Rp449,862.98","Rp317,766.49","Rp132,096.49"," Rp42,236,769.12 ",,,
78," Rp42,236,769.12 ","Rp449,862.98","Rp316,775.77","Rp133,087.21"," Rp42,103,681.91 ",,,
79," Rp42,103,681.91 ","Rp449,862.98","Rp315,777.61","Rp134,085.36"," Rp41,969,596.54 ",,,
80," Rp41,969,596.54 ","Rp449,862.98","Rp314,771.97","Rp135,091.00"," Rp41,834,505.54 ",,,
81," Rp41,834,505.54 ","Rp449,862.98","Rp313,758.79","Rp136,104.19"," Rp41,698,401.35 ",,,
82," Rp41,698,401.35 ","Rp449,862.98","Rp312,738.01","Rp137,124.97"," Rp41,561,276.39 ",,,
83," Rp41,561,276.39 ","Rp449,862.98","Rp311,709.57","Rp138,153.41"," Rp41,423,122.98 ",,,
84," Rp41,423,122.98 ","Rp449,862.98","Rp310,673.42","Rp139,189.56"," Rp41,283,933.43 ",,,
85," Rp41,283,933.43 ","Rp449,862.98","Rp309,629.50","Rp140,233.48"," Rp41,143,699.95 ",,,
86," Rp41,143,699.95 ","Rp449,862.98","Rp308,577.75","Rp141,285.23"," Rp41,002,414.72 ",,,
87," Rp41,002,414.72 ","Rp449,862.98","Rp307,518.11","Rp142,344.87"," Rp40,860,069.85 ",,,
88," Rp40,860,069.85 ","Rp449,862.98","Rp306,450.52","Rp143,412.45"," Rp40,716,657.40 ",,,
89," Rp40,716,657.40 ","Rp449,862.98","Rp305,374.93","Rp144,488.05"," Rp40,572,169.35 ",,,
90," Rp40,572,169.35 ","Rp449,862.98","Rp304,291.27","Rp145,571.71"," Rp40,426,597.64 ",,,
91," Rp40,426,597.64 ","Rp449,862.98","Rp303,199.48","Rp146,663.50"," Rp40,279,934.15 ",,,
92," Rp40,279,934.15 ","Rp449,862.98","Rp302,099.51","Rp147,763.47"," Rp40,132,170.68 ",,,
93," Rp40,132,170.68 ","Rp449,862.98","Rp300,991.28","Rp148,871.70"," Rp39,983,298.98 ",,,
94," Rp39,983,298.98 ","Rp449,862.98","Rp299,874.74","Rp149,988.24"," Rp39,833,310.74 ",,,
95," Rp39,833,310.74 ","Rp449,862.98","Rp298,749.83","Rp151,113.15"," Rp39,682,197.60 ",,,
96," Rp39,682,197.60 ","Rp449,862.98","Rp297,616.48","Rp152,246.50"," Rp39,529,951.10 ",,,
97," Rp39,529,951.10 ","Rp449,862.98","Rp296,474.63","Rp153,388.34"," Rp39,376,562.75 ",,,
98," Rp39,376,562.75 ","Rp449,862.98","Rp295,324.22","Rp154,538.76"," Rp39,222,024.00 ",,,
99," Rp39,222,024.00 ","Rp449,862.98","Rp294,165.18","Rp155,697.80"," Rp39,066,326.20 ",,,
100," Rp39,066,326.20 ","Rp449,862.98","Rp292,997.45","Rp156,865.53"," Rp38,909,460.67 ",,,
101," Rp38,909,460.67 ","Rp449,862.98","Rp291,820.96","Rp158,042.02"," Rp38,751,418.65 ",,,
102," Rp38,751,418.65 ","Rp449,862.98","Rp290,635.64","Rp159,227.34"," Rp38,592,191.31 ",,,
103," Rp38,592,191.31 ","Rp449,862.98","Rp289,441.43","Rp160,421.54"," Rp38,431,769.76 ",,,
104," Rp38,431,769.76 ","Rp449,862.98","Rp288,238.27","Rp161,624.70"," Rp38,270,145.06 ",,,
105," Rp38,270,145.06 ","Rp449,862.98","Rp287,026.09","Rp162,836.89"," Rp38,107,308.17 ",,,
106," Rp38,107,308.17 ","Rp449,862.98","Rp285,804.81","Rp164,058.17"," Rp37,943,250.00 ",,,
107," Rp37,943,250.00 ","Rp449,862.98","Rp284,574.38","Rp165,288.60"," Rp37,777,961.40 ",,,
108," Rp37,777,961.40 ","Rp449,862.98","Rp283,334.71","Rp166,528.27"," Rp37,611,433.13 ",,,
109," Rp37,611,433.13 ","Rp449,862.98","Rp282,085.75","Rp167,777.23"," Rp37,443,655.90 ",,,
110," Rp37,443,655.90 ","Rp449,862.98","Rp280,827.42","Rp169,035.56"," Rp37,274,620.34 ",,,
111," Rp37,274,620.34 ","Rp449,862.98","Rp279,559.65","Rp170,303.33"," Rp37,104,317.02 ",,,
112," Rp37,104,317.02 ","Rp449,862.98","Rp278,282.38","Rp171,580.60"," Rp36,932,736.42 ",,,
113," Rp36,932,736.42 ","Rp449,862.98","Rp276,995.52","Rp172,867.45"," Rp36,759,868.96 ",,,
114," Rp36,759,868.96 ","Rp449,862.98","Rp275,699.02","Rp174,163.96"," Rp36,585,705.00 ",,,
115," Rp36,585,705.00 ","Rp449,862.98","Rp274,392.79","Rp175,470.19"," Rp36,410,234.81 ",,,
116," Rp36,410,234.81 ","Rp449,862.98","Rp273,076.76","Rp176,786.22"," Rp36,233,448.60 ",,,
117," Rp36,233,448.60 ","Rp449,862.98","Rp271,750.86","Rp178,112.11"," Rp36,055,336.48 ",,,
118," Rp36,055,336.48 ","Rp449,862.98","Rp270,415.02","Rp179,447.95"," Rp35,875,888.53 ",,,
119," Rp35,875,888.53 ","Rp449,862.98","Rp269,069.16","Rp180,793.81"," Rp35,695,094.71 ",,,
120," Rp35,695,094.71 ","Rp449,862.98","Rp267,713.21","Rp182,149.77"," Rp35,512,944.95 ",,,
121," Rp35,512,944.95 ","Rp449,862.98","Rp266,347.09","Rp183,515.89"," Rp35,329,429.06 ",,,
122," Rp35,329,429.06 ","Rp449,862.98","Rp264,970.72","Rp184,892.26"," Rp35,144,536.80 ",,,
123," Rp35,144,536.80 ","Rp449,862.98","Rp263,584.03","Rp186,278.95"," Rp34,958,257.84 ",,,
124," Rp34,958,257.84 ","Rp449,862.98","Rp262,186.93","Rp187,676.04"," Rp34,770,581.80 ",,,
125," Rp34,770,581.80 ","Rp449,862.98","Rp260,779.36","Rp189,083.61"," Rp34,581,498.19 ",,,
126," Rp34,581,498.19 ","Rp449,862.98","Rp259,361.24","Rp190,501.74"," Rp34,390,996.44 ",,,
127," Rp34,390,996.44 ","Rp449,862.98","Rp257,932.47","Rp191,930.50"," Rp34,199,065.94 ",,,
128," Rp34,199,065.94 ","Rp449,862.98","Rp256,492.99","Rp193,369.98"," Rp34,005,695.96 ",,,
129," Rp34,005,695.96 ","Rp449,862.98","Rp255,042.72","Rp194,820.26"," Rp33,810,875.70 ",,,
130," Rp33,810,875.70 ","Rp449,862.98","Rp253,581.57","Rp196,281.41"," Rp33,614,594.29 ",,,
131," Rp33,614,594.29 ","Rp449,862.98","Rp252,109.46","Rp197,753.52"," Rp33,416,840.77 ",,,
132," Rp33,416,840.77 ","Rp449,862.98","Rp250,626.31","Rp199,236.67"," Rp33,217,604.09 ",,,
133," Rp33,217,604.09 ","Rp449,862.98","Rp249,132.03","Rp200,730.95"," Rp33,016,873.15 ",,,
134," Rp33,016,873.15 ","Rp449,862.98","Rp247,626.55","Rp202,236.43"," Rp32,814,636.72 ",,,
135," Rp32,814,636.72 ","Rp449,862.98","Rp246,109.78","Rp203,753.20"," Rp32,610,883.52 ",,,
136," Rp32,610,883.52 ","Rp449,862.98","Rp244,581.63","Rp205,281.35"," Rp32,405,602.16 ",,,
137," Rp32,405,602.16 ","Rp449,862.98","Rp243,042.02","Rp206,820.96"," Rp32,198,781.20 ",,,
138," Rp32,198,781.20 ","Rp449,862.98","Rp241,490.86","Rp208,372.12"," Rp31,990,409.08 ",,,
139," Rp31,990,409.08 ","Rp449,862.98","Rp239,928.07","Rp209,934.91"," Rp31,780,474.17 ",,,
140," Rp31,780,474.17 ","Rp449,862.98","Rp238,353.56","Rp211,509.42"," Rp31,568,964.75 ",,,
141," Rp31,568,964.75 ","Rp449,862.98","Rp236,767.24","Rp213,095.74"," Rp31,355,869.01 ",,,
142," Rp31,355,869.01 ","Rp449,862.98","Rp235,169.02","Rp214,693.96"," Rp31,141,175.05 ",,,
143," Rp31,141,175.05 ","Rp449,862.98","Rp233,558.81","Rp216,304.17"," Rp30,924,870.88 ",,,
144," Rp30,924,870.88 ","Rp449,862.98","Rp231,936.53","Rp217,926.45"," Rp30,706,944.44 ",,,
145," Rp30,706,944.44 ","Rp449,862.98","Rp230,302.08","Rp219,560.89"," Rp30,487,383.54 ",,,
146," Rp30,487,383.54 ","Rp449,862.98","Rp228,655.38","Rp221,207.60"," Rp30,266,175.94 ",,,
147," Rp30,266,175.94 ","Rp449,862.98","Rp226,996.32","Rp222,866.66"," Rp30,043,309.28 ",,,
148," Rp30,043,309.28 ","Rp449,862.98","Rp225,324.82","Rp224,538.16"," Rp29,818,771.12 ",,,
149," Rp29,818,771.12 ","Rp449,862.98","Rp223,640.78","Rp226,222.19"," Rp29,592,548.93 ",,,
150," Rp29,592,548.93 ","Rp449,862.98","Rp221,944.12","Rp227,918.86"," Rp29,364,630.07 ",,,
151," Rp29,364,630.07 ","Rp449,862.98","Rp220,234.73","Rp229,628.25"," Rp29,135,001.82 ",,,
152," Rp29,135,001.82 ","Rp449,862.98","Rp218,512.51","Rp231,350.46"," Rp28,903,651.35 ",,,
153," Rp28,903,651.35 ","Rp449,862.98","Rp216,777.39","Rp233,085.59"," Rp28,670,565.76 ",,,
154," Rp28,670,565.76 ","Rp449,862.98","Rp215,029.24","Rp234,833.73"," Rp28,435,732.03 ",,,
155," Rp28,435,732.03 ","Rp449,862.98","Rp213,267.99","Rp236,594.99"," Rp28,199,137.04 ",,,
156," Rp28,199,137.04 ","Rp449,862.98","Rp211,493.53","Rp238,369.45"," Rp27,960,767.59 ",,,
157," Rp27,960,767.59 ","Rp449,862.98","Rp209,705.76","Rp240,157.22"," Rp27,720,610.37 ",,,
158," Rp27,720,610.37 ","Rp449,862.98","Rp207,904.58","Rp241,958.40"," Rp27,478,651.97 ",,,
159," Rp27,478,651.97 ","Rp449,862.98","Rp206,089.89","Rp243,773.09"," Rp27,234,878.88 ",,,
160," Rp27,234,878.88 ","Rp449,862.98","Rp204,261.59","Rp245,601.39"," Rp26,989,277.49 ",,,
161," Rp26,989,277.49 ","Rp449,862.98","Rp202,419.58","Rp247,443.40"," Rp26,741,834.09 ",,,
162," Rp26,741,834.09 ","Rp449,862.98","Rp200,563.76","Rp249,299.22"," Rp26,492,534.87 ",,,
163," Rp26,492,534.87 ","Rp449,862.98","Rp198,694.01","Rp251,168.97"," Rp26,241,365.91 ",,,
164," Rp26,241,365.91 ","Rp449,862.98","Rp196,810.24","Rp253,052.73"," Rp25,988,313.17 ",,,
165," Rp25,988,313.17 ","Rp449,862.98","Rp194,912.35","Rp254,950.63"," Rp25,733,362.54 ",,,
166," Rp25,733,362.54 ","Rp449,862.98","Rp193,000.22","Rp256,862.76"," Rp25,476,499.78 ",,,
167," Rp25,476,499.78 ","Rp449,862.98","Rp191,073.75","Rp258,789.23"," Rp25,217,710.56 ",,,
168," Rp25,217,710.56 ","Rp449,862.98","Rp189,132.83","Rp260,730.15"," Rp24,956,980.41 ",,,
169," Rp24,956,980.41 ","Rp449,862.98","Rp187,177.35","Rp262,685.62"," Rp24,694,294.78 ",,,
170," Rp24,694,294.78 ","Rp449,862.98","Rp185,207.21","Rp264,655.77"," Rp24,429,639.01 ",,,
171," Rp24,429,639.01 ","Rp449,862.98","Rp183,222.29","Rp266,640.69"," Rp24,162,998.33 ",,,
172," Rp24,162,998.33 ","Rp449,862.98","Rp181,222.49","Rp268,640.49"," Rp23,894,357.84 ",,,
173," Rp23,894,357.84 ","Rp449,862.98","Rp179,207.68","Rp270,655.29"," Rp23,623,702.54 ",,,
174," Rp23,623,702.54 ","Rp449,862.98","Rp177,177.77","Rp272,685.21"," Rp23,351,017.34 ",,,
175," Rp23,351,017.34 ","Rp449,862.98","Rp175,132.63","Rp274,730.35"," Rp23,076,286.99 ",,,
176," Rp23,076,286.99 ","Rp449,862.98","Rp173,072.15","Rp276,790.83"," Rp22,799,496.16 ",,,
177," Rp22,799,496.16 ","Rp449,862.98","Rp170,996.22","Rp278,866.76"," Rp22,520,629.41 ",,,
178," Rp22,520,629.41 ","Rp449,862.98","Rp168,904.72","Rp280,958.26"," Rp22,239,671.15 ",,,
179," Rp22,239,671.15 ","Rp449,862.98","Rp166,797.53","Rp283,065.44"," Rp21,956,605.70 ",,,
180," Rp21,956,605.70 ","Rp449,862.98","Rp164,674.54","Rp285,188.44"," Rp21,671,417.27 ",,,
181," Rp21,671,417.27 ","Rp449,862.98","Rp162,535.63","Rp287,327.35"," Rp21,384,089.92 ",,,
182," Rp21,384,089.92 ","Rp449,862.98","Rp160,380.67","Rp289,482.30"," Rp21,094,607.62 ",,,
183," Rp21,094,607.62 ","Rp449,862.98","Rp158,209.56","Rp291,653.42"," Rp20,802,954.20 ",,,
184," Rp20,802,954.20 ","Rp449,862.98","Rp156,022.16","Rp293,840.82"," Rp20,509,113.37 ",,,
185," Rp20,509,113.37 ","Rp449,862.98","Rp153,818.35","Rp296,044.63"," Rp20,213,068.75 ",,,
186," Rp20,213,068.75 ","Rp449,862.98","Rp151,598.02","Rp298,264.96"," Rp19,914,803.78 ",,,
187," Rp19,914,803.78 ","Rp449,862.98","Rp149,361.03","Rp300,501.95"," Rp19,614,301.84 ",,,
188," Rp19,614,301.84 ","Rp449,862.98","Rp147,107.26","Rp302,755.71"," Rp19,311,546.12 ",,,
189," Rp19,311,546.12 ","Rp449,862.98","Rp144,836.60","Rp305,026.38"," Rp19,006,519.74 ",,,
190," Rp19,006,519.74 ","Rp449,862.98","Rp142,548.90","Rp307,314.08"," Rp18,699,205.66 ",,,
191," Rp18,699,205.66 ","Rp449,862.98","Rp140,244.04","Rp309,618.94"," Rp18,389,586.72 ",,,
192," Rp18,389,586.72 ","Rp449,862.98","Rp137,921.90","Rp311,941.08"," Rp18,077,645.65 ",,,
193," Rp18,077,645.65 ","Rp449,862.98","Rp135,582.34","Rp314,280.64"," Rp17,763,365.01 ",,,
194," Rp17,763,365.01 ","Rp449,862.98","Rp133,225.24","Rp316,637.74"," Rp17,446,727.27 ",,,
195," Rp17,446,727.27 ","Rp449,862.98","Rp130,850.45","Rp319,012.52"," Rp17,127,714.75 ",,,
196," Rp17,127,714.75 ","Rp449,862.98","Rp128,457.86","Rp321,405.12"," Rp16,806,309.63 ",,,
197," Rp16,806,309.63 ","Rp449,862.98","Rp126,047.32","Rp323,815.66"," Rp16,482,493.97 ",,,
198," Rp16,482,493.97 ","Rp449,862.98","Rp123,618.70","Rp326,244.27"," Rp16,156,249.70 ",,,
199," Rp16,156,249.70 ","Rp449,862.98","Rp121,171.87","Rp328,691.11"," Rp15,827,558.60 ",,,
200," Rp15,827,558.60 ","Rp449,862.98","Rp118,706.69","Rp331,156.29"," Rp15,496,402.31 ",,,
201," Rp15,496,402.31 ","Rp449,862.98","Rp116,223.02","Rp333,639.96"," Rp15,162,762.35 ",,,
202," Rp15,162,762.35 ","Rp449,862.98","Rp113,720.72","Rp336,142.26"," Rp14,826,620.09 ",,,
203," Rp14,826,620.09 ","Rp449,862.98","Rp111,199.65","Rp338,663.33"," Rp14,487,956.76 ",,,
204," Rp14,487,956.76 ","Rp449,862.98","Rp108,659.68","Rp341,203.30"," Rp14,146,753.46 ",,,
205," Rp14,146,753.46 ","Rp449,862.98","Rp106,100.65","Rp343,762.33"," Rp13,802,991.13 ",,,
206," Rp13,802,991.13 ","Rp449,862.98","Rp103,522.43","Rp346,340.54"," Rp13,456,650.59 ",,,
207," Rp13,456,650.59 ","Rp449,862.98","Rp100,924.88","Rp348,938.10"," Rp13,107,712.49 ",,,
208," Rp13,107,712.49 ","Rp449,862.98","Rp98,307.84","Rp351,555.13"," Rp12,756,157.35 ",,,
209," Rp12,756,157.35 ","Rp449,862.98","Rp95,671.18","Rp354,191.80"," Rp12,401,965.55 ",,,
210," Rp12,401,965.55 ","Rp449,862.98","Rp93,014.74","Rp356,848.24"," Rp12,045,117.32 ",,,
211," Rp12,045,117.32 ","Rp449,862.98","Rp90,338.38","Rp359,524.60"," Rp11,685,592.72 ",,,
212," Rp11,685,592.72 ","Rp449,862.98","Rp87,641.95","Rp362,221.03"," Rp11,323,371.69 ",,,
213," Rp11,323,371.69 ","Rp449,862.98","Rp84,925.29","Rp364,937.69"," Rp10,958,434.00 ",,,
214," Rp10,958,434.00 ","Rp449,862.98","Rp82,188.25","Rp367,674.72"," Rp10,590,759.27 ",,,
215," Rp10,590,759.27 ","Rp449,862.98","Rp79,430.69","Rp370,432.28"," Rp10,220,326.99 ",,,
216," Rp10,220,326.99 ","Rp449,862.98","Rp76,652.45","Rp373,210.53"," Rp9,847,116.47 ",,,
217," Rp9,847,116.47 ","Rp449,862.98","Rp73,853.37","Rp376,009.60"," Rp9,471,106.86 ",,,
218," Rp9,471,106.86 ","Rp449,862.98","Rp71,033.30","Rp378,829.68"," Rp9,092,277.18 ",,,
219," Rp9,092,277.18 ","Rp449,862.98","Rp68,192.08","Rp381,670.90"," Rp8,710,606.29 ",,,
220," Rp8,710,606.29 ","Rp449,862.98","Rp65,329.55","Rp384,533.43"," Rp8,326,072.85 ",,,
221," Rp8,326,072.85 ","Rp449,862.98","Rp62,445.55","Rp387,417.43"," Rp7,938,655.42 ",,,
222," Rp7,938,655.42 ","Rp449,862.98","Rp59,539.92","Rp390,323.06"," Rp7,548,332.36 ",,,
223," Rp7,548,332.36 ","Rp449,862.98","Rp56,612.49","Rp393,250.49"," Rp7,155,081.88 ",,,
224," Rp7,155,081.88 ","Rp449,862.98","Rp53,663.11","Rp396,199.86"," Rp6,758,882.01 ",,,
225," Rp6,758,882.01 ","Rp449,862.98","Rp50,691.62","Rp399,171.36"," Rp6,359,710.65 ",,,
226," Rp6,359,710.65 ","Rp449,862.98","Rp47,697.83","Rp402,165.15"," Rp5,957,545.50 ",,,
227," Rp5,957,545.50 ","Rp449,862.98","Rp44,681.59","Rp405,181.39"," Rp5,552,364.11 ",,,
